repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
fastify/fastify,npm,JavaScript,36363,0.0,10,10,100,fastify
FasterXML/jackson,Maven,,9728,0.2,10,10,100,com.fasterxml.jackson.core:jackson-databind
istio/istio,Go,Go,38206,0.0,10,10,100,"github.com/istio/istio, istio.io/istio"
actix/actix-web,crates.io,Rust,24661,0.0,10,10,100,"actix-files, actix-http, actix-web, perseus-actix-web"
crossbeam-rs/crossbeam,crates.io,Rust,8464,3.3,10,10,100,"crossbeam, crossbeam-channel, crossbeam-deque, crossbeam-queue, crossbeam-utils"
apache/dubbo,Maven,Java,41517,0.0,10,10,100,"com.alibaba:hessian-lite, org.apache.dubbo:dubbo, org.apache.dubbo:dubbo-parent, org.apache.dubbo:dubbo-rpc-http-invoker"
mattermost/mattermost-server,Go,TypeScript,36980,0.0,10,10,100,"github.com/mattermost/mattermost-server, github.com/mattermost/mattermost-server/v5, github.com/mattermost/mattermost-server/v6"
psf/requests,"npm, pypi",Python,54021,0.0,10,10,100,"fluture-node, follow-redirects, poetry-plugin-tweak-dependencies-version, pyquest, requests"
hashicorp/go-getter,Go,Go,1820,0.0,10,10,100,"github.com/hashicorp/go-getter, github.com/hashicorp/go-getter/gcs/v2, github.com/hashicorp/go-getter/s3/v2, github.com/hashicorp/go-getter/v2"
apache/atlas,Maven,Java,2107,0.0,10,10,100,"org.apache.atlas:apache-atlas, org.apache.atlas:atlas-common"
openstack/horizon,pypi,Python,1401,0.0,10,10,100,horizon
gitpython-developers/GitPython,pypi,Python,5122,0.0,10,10,100,GitPython
quic-go/quic-go,Go,Go,11622,0.1,10,10,100,"github.com/coredns/coredns, github.com/libp2p/go-libp2p, github.com/quic-go/quic-go"
charmbracelet/soft-serve,Go,Go,7016,0.1,10,10,100,github.com/charmbracelet/soft-serve
Forceu/Gokapi,Go,Go,2749,0.5,10,10,100,github.com/forceu/gokapi
roundcube/roundcubemail,packagist,PHP,7000,0.1,10,10,100,roundcube/roundcubemail
authlib/authlib,pypi,Python,5329,0.5,10,10,100,authlib
vitejs/vite-plugin-react,npm,TypeScript,1088,0.0,10,10,100,"@vitejs/plugin-rsc, next, react-server-dom-parcel, react-server-dom-turbopack, react-server-dom-webpack"
Tencent/WeKnora,Go,Go,15969,0.0,10,10,100,github.com/Tencent/WeKnora
