repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
backstage/backstage,npm,TypeScript,33514,0.0,31,31,100,"@backstage/backend-app-api, @backstage/backend-common, @backstage/backend-defaults, @backstage/catalog-model, @backstage/cli-common, @backstage/core-components, @backstage/integration, @backstage/plug"
denoland/deno,crates.io,Rust,106938,0.0,31,31,100,"Deno, deno, deno_doc, deno_fetch, deno_node, deno_runtime, serde_v8"
statamic/cms,packagist,PHP,4817,0.0,31,31,100,statamic/cms
helm/helm,Go,Go,29842,0.0,31,30,97,"github.com/fluxcd/flux2, github.com/fluxcd/helm-controller, github.com/go-vela/compiler, github.com/helm/helm, golang.org/x/crypto, helm.sh/helm, helm.sh/helm/v3, helm.sh/helm/v4"
geoserver/geoserver,Maven,Java,4362,0.0,31,29,94,"org.geoserver.community:gs-jdbcconfig, org.geoserver.extension:gs-mapml, org.geoserver.extension:gs-wps-core, org.geoserver.main:gs-main, org.geoserver.web:gs-app, org.geoserver.web:gs-web-app, org.ge"
pmmp/PocketMine-MP,packagist,PHP,3526,0.1,30,30,100,pocketmine/pocketmine-mp
filebrowser/filebrowser,Go,Go,34949,0.0,30,23,77,"github.com/filebrowser/filebrowser, github.com/filebrowser/filebrowser/v2, https://github.com/filebrowser/filebrowser"
PHPOffice/PhpSpreadsheet,packagist,PHP,13934,0.1,29,29,100,"kimai/kimai, phpoffice/phpexcel, phpoffice/phpspreadsheet, solspace/craft-freeform"
eclipse/jetty.project,"Go, Maven, swifturl",Java,4076,0.0,28,28,100,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, golang.org/x/ne"
elastic/elasticsearch,"Go, Maven",Java,76827,0.0,28,28,100,"github.com/elastic/beats, github.com/elastic/beats/v7, org.elasticsearch.client:elasticsearch-rest-client, org.elasticsearch.plugin:x-pack-core, org.elasticsearch.plugin:x-pack-security, org.elasticse"
pgadmin-org/pgadmin4,pypi,Python,3645,0.0,28,28,100,"pgAdmin4, pgadmin4"
wikimedia/mediawiki,packagist,PHP,5075,0.0,28,27,96,"mediawiki/core, wikibase/wikibase"
surrealdb/surrealdb,crates.io,Rust,32329,0.2,28,27,96,"SurrealDB, surrealdb, surrealdb-core"
hashicorp/nomad,Go,Go,16539,0.0,28,26,93,github.com/hashicorp/nomad
simplesamlphp/simplesamlphp,packagist,PHP,1139,0.0,27,27,100,"simplesamlphp/saml2, simplesamlphp/simplesamlphp, simplesamlphp/simplesamlphp-module-infocard"
nilsteampassnet/TeamPass,packagist,PHP,1790,0.0,27,16,59,nilsteampassnet/teampass
py-pdf/pypdf,pypi,Python,10025,0.0,26,26,100,"PyPDF2, pypdf"
withastro/astro,npm,TypeScript,59815,0.0,26,26,100,"@astrojs/cloudflare, @astrojs/node, @astrojs/vercel, astro"
laravel/framework,packagist,PHP,34741,0.0,26,25,96,"illuminate/auth, illuminate/database, illuminate/view, laravel/framework, laravel/laravel, macropay-solutions/laravel-crud-wizard-free"
run-llama/llama_index,pypi,Python,49895,0.0,26,24,92,"llama-index, llama-index-cli, llama-index-core, llama-index-llms-rungpt, llama-index-packs-finchat, llama-index-readers-docugami, llama-index-readers-obsidian, llama-index-readers-papers, llama-index-"
fleetdm/fleet,Go,Go,6430,0.0,25,25,100,"github.com/fleetdm/fleet, github.com/fleetdm/fleet/v4"
anthropics/claude-code,npm,Python,129938,0.0,25,25,100,@anthropic-ai/claude-code
ethereum/go-ethereum,Go,Go,51070,0.0,25,20,80,"github.com/ethereum/go-ethereum, github.com/holiman/uint256"
langflow-ai/langflow,pypi,Python,149203,0.0,25,16,64,"langflow, langflow-base"
frangoteam/FUXA,npm,TypeScript,4560,0.1,25,14,56,"@frangoteam/fuxa, fuxa-server"
TYPO3/TYPO3.CMS,packagist,PHP,1190,0.0,24,24,100,"typo3/cms, typo3/cms-backend, typo3/cms-core, typo3/cms-form"
apache/dolphinscheduler,"Maven, pypi",Java,14292,0.0,24,24,100,"apache-dolphinscheduler, org.apache.dolphinscheduler:dolphinscheduler, org.apache.dolphinscheduler:dolphinscheduler-alert-plugins, org.apache.dolphinscheduler:dolphinscheduler-api, org.apache.dolphins"
openbao/openbao,Go,Go,6242,0.0,24,24,100,"github.com/hashicorp/vault, github.com/openbao/openbao, github.com/openbao/openbao/sdk/v2"
firefly-iii/firefly-iii,packagist,PHP,23591,0.0,24,22,92,grumpydictator/firefly-iii
TryGhost/Ghost,npm,JavaScript,53782,0.0,24,21,88,"@tryghost/members-csv, @tryghost/portal, ghost"
golang/go,"Go, Maven, swifturl",Go,134259,0.0,23,23,100,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, github.com/cert"
opencontainers/runc,"Go, crates.io",Go,13249,0.0,23,23,100,"github.com/apptainer/apptainer, github.com/cri-o/cri-o, github.com/opencontainers/runc, github.com/opencontainers/selinux, github.com/sylabs/singularity/v4, libcontainer, youki"
dotnet/aspnetcore,NuGet,C#,37962,0.0,23,23,100,"Microsoft.AspNet.Identity.Owin, Microsoft.AspNetCore.App, Microsoft.AspNetCore.App.Runtime.linux-arm, Microsoft.AspNetCore.App.Runtime.linux-arm64, Microsoft.AspNetCore.App.Runtime.linux-musl-arm, Mic"
nodejs/undici,npm,JavaScript,7603,0.0,23,23,100,"@hapi/wreck, undici"
openfga/openfga,Go,Go,5237,0.0,23,23,100,github.com/openfga/openfga
goharbor/harbor,Go,Go,28631,0.0,23,22,96,"github.com/goharbor/harbor, github.com/goharbor/harbor/src"
juju/juju,Go,Go,2632,0.0,23,21,91,github.com/juju/juju
Froxlor/Froxlor,packagist,PHP,1739,0.2,23,20,87,froxlor/froxlor
kyverno/kyverno,Go,Go,7803,0.0,23,19,83,"github.com/kyverno/kyverno, github.com/kyverno/policy-reporter-ui"
livehelperchat/livehelperchat,packagist,PHP,2211,0.1,23,18,78,"livehelperchat/livehelperchat, remdex/livehelperchat"
OpenZeppelin/openzeppelin-contracts,npm,Solidity,27122,0.0,22,22,100,"@openzeppelin/contracts, @openzeppelin/contracts-upgradeable, openzeppelin-eth, openzeppelin-solidity"
quarkusio/quarkus,Maven,Java,15700,0.0,22,21,95,"io.quarkus.resteasy.reactive:resteasy-reactive, io.quarkus.resteasy.reactive:resteasy-reactive-common, io.quarkus:quarkus-cache, io.quarkus:quarkus-core, io.quarkus:quarkus-core-parent, io.quarkus:qua"
nervosnetwork/ckb,crates.io,Rust,1210,0.0,22,21,95,ckb
drupal/drupal,packagist,PHP,4268,0.0,22,21,95,"drupal/core, drupal/core-recommended, drupal/drupal"
BerriAI/litellm,"Go, github actions, pypi",Python,49218,0.0,22,17,77,"aquasecurity/setup-trivy, aquasecurity/trivy-action, github.com/aquasecurity/trivy, litellm"
mindsdb/mindsdb,pypi,Python,39234,0.0,22,15,68,"MindsDB, mindsdb"
puppetlabs/puppet,RubyGems,Ruby,7867,2.6,21,21,100,puppet
rubygems/rubygems,"Maven, RubyGems",Ruby,3929,0.0,21,21,100,"bundler, org.jruby:jruby-stdlib, rubygems-update"
twigphp/Twig,packagist,PHP,8359,0.0,21,21,100,"craftcms/cms, getgrav/grav, twig/cssinliner-extra, twig/intl-extra, twig/markdown-extra, twig/twig"
cloudfoundry/uaa,Maven,Java,1630,0.0,21,21,100,org.cloudfoundry.identity:cloudfoundry-identity-server
etcd-io/etcd,"Go, Maven, swifturl",Go,51761,0.0,21,20,95,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, github.com/etcd"
lxc/incus,Go,Go,5480,0.0,21,16,76,"github.com/canonical/lxd, github.com/lxc/incus, github.com/lxc/incus/v6, github.com/lxc/incus/v6/client, github.com/lxc/incus/v6/cmd/incus, github.com/lxc/incus/v6/cmd/incusd"
pyca/cryptography,"crates.io, pypi",Python,7612,0.0,20,20,100,"cryptography, openssl-src"
wagtail/wagtail,pypi,Python,20338,0.0,20,20,100,wagtail
cure53/DOMPurify,"npm, pypi",JavaScript,17071,0.0,20,20,100,"dompurify, mermaid"
containerd/containerd,Go,Go,20794,0.0,20,20,100,"github.com/containerd/containerd, github.com/containerd/containerd/v2"
vitejs/vite,npm,TypeScript,80981,0.0,20,20,100,"@nuxt/vite-builder, vite"
huggingface/transformers,pypi,Python,161258,0.0,20,20,100,transformers
apache/zeppelin,Maven,Java,6621,0.0,20,19,95,"org.apache.zeppelin:sap, org.apache.zeppelin:zeppelin, org.apache.zeppelin:zeppelin-interpreter, org.apache.zeppelin:zeppelin-jdbc, org.apache.zeppelin:zeppelin-server, org.apache.zeppelin:zeppelin-sh"
bagisto/bagisto,packagist,PHP,26985,0.0,20,18,90,bagisto/bagisto
Sylius/Sylius,packagist,PHP,8483,0.0,20,18,90,sylius/sylius
tinymce/tinymce,"NuGet, npm, packagist, pypi",TypeScript,16202,0.0,20,18,90,"TinyMCE, django-tinymce, tinymce, tinymce/tinymce"
OpenNMS/opennms,Maven,Java,1160,0.0,20,18,90,"org.opennms.core:org.opennms.core.daemon, org.opennms.core:org.opennms.core.xml, org.opennms.features:org.opennms.features.measurements, org.opennms:opennms, org.opennms:opennms-base-assembly, org.ope"
Budibase/budibase,npm,TypeScript,27983,0.0,20,18,90,"@budibase/backend-core, @budibase/bbui, @budibase/builder, @budibase/server, @budibase/worker, budibase"
keras-team/keras,pypi,Python,64085,0.0,20,18,90,"Keras, keras, tensorflow, tensorflow-cpu"
containers/podman,"Go, crates.io",Go,31926,0.0,20,17,85,"github.com/containers/buildah, github.com/containers/libpod, github.com/containers/podman, github.com/containers/podman/v2, github.com/containers/podman/v3, github.com/containers/podman/v4, github.com"
0xJacky/nginx-ui,Go,Go,11184,0.0,20,12,60,"github.com/0xJacky/Nginx-UI, github.com/0xJacky/nginx-ui, github.com/uozi-tech/cosy"
aspnet/Announcements,NuGet,,1662,4.1,19,19,100,"DisCatSharp, MessagePack, MessagePack.ImmutableCollection, MessagePack.ReactiveProperty, MessagePack.Unity, MessagePack.UnityShims, Microsoft.AspNetCore.All, Microsoft.AspNetCore.App, Microsoft.AspNet"
urllib3/urllib3,pypi,Python,4028,0.0,19,19,100,urllib3
nilsteampassnet/teampass,packagist,PHP,1790,0.0,19,19,100,nilsteampassnet/teampass
google/security-research,"Go, Maven, NuGet, crates.io, npm, pypi",C,4505,0.0,19,18,95,"Azure.Storage.Blobs, Azure.Storage.Queues, angular, astral-tokio-tar, aws-encryption-sdk, azure-storage-blob, azure-storage-queue, com.amazonaws:aws-encryption-sdk-java, com.azure:azure-storage-blob, "
argoproj/argo-workflows,Go,Go,16739,0.0,19,18,95,"github.com/argoproj/argo-workflows, github.com/argoproj/argo-workflows/v3, github.com/argoproj/argo-workflows/v4"
kimai/kimai,packagist,PHP,4703,0.0,19,18,95,kimai/kimai
cosmos/cosmos-sdk,Go,Go,7002,0.0,19,17,89,"cosmossdk.io/math, cosmossdk.io/x/tx, github.com/babylonlabs-io/babylon, github.com/babylonlabs-io/babylon/v2, github.com/cheqd/cheqd-node, github.com/cosmos/cosmos-sdk"
rustsec/advisory-db,crates.io,,1121,0.0,19,12,63,"array-macro, bigint, dyn-future, enum-map, fruity, gix-attributes, libyml, mail-internals, ntpd, oneshot, openssl-src, ouch, pleaser, scaly, serde_yml, xcb, zerovec-derive"
gotenberg/gotenberg,Go,Go,12300,0.2,19,12,63,"github.com/gotenberg/gotenberg/v7, github.com/gotenberg/gotenberg/v8"
sequelize/sequelize,npm,TypeScript,30350,0.1,18,18,100,"@sequelize/core, sequelize"
OPCFoundation/UA-.NETStandard,NuGet,C#,2307,0.0,18,18,100,"OPCFoundation.NetStandard.Opc.Ua, OPCFoundation.NetStandard.Opc.Ua.Bindings.Https, OPCFoundation.NetStandard.Opc.Ua.Core, OPCFoundation.NetStandard.Opc.Ua.Server"
apache/kylin,Maven,Java,3765,0.2,18,18,100,"org.apache.kylin:kylin, org.apache.kylin:kylin-common-server, org.apache.kylin:kylin-common-service, org.apache.kylin:kylin-core-common, org.apache.kylin:kylin-core-metadata, org.apache.kylin:kylin-op"
pterodactyl/panel,"Go, packagist",PHP,8932,0.1,18,18,100,"github.com/pterodactyl/wings, pterodactyl/panel"
apache/pulsar,"Maven, pypi",Java,15265,0.0,18,18,100,"org.apache.pulsar:pulsar, org.apache.pulsar:pulsar-broker, org.apache.pulsar:pulsar-broker-auth-sasl, org.apache.pulsar:pulsar-client, org.apache.pulsar:pulsar-functions-worker, org.apache.pulsar:puls"
decidim/decidim,RubyGems,Ruby,1761,0.0,18,18,100,"decidim, decidim-admin, decidim-core, decidim-meetings, decidim-system, decidim-templates, devise_invitable"
caddyserver/caddy,"Go, Maven, swifturl",Go,72993,0.0,18,17,94,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, github.com/cadd"
MobSF/Mobile-Security-Framework-MobSF,pypi,JavaScript,21139,0.5,18,17,94,"mobsf, mobsfscan"
dgtlmoon/changedetection.io,pypi,Python,31866,0.0,18,17,94,changedetection.io
forkcms/forkcms,packagist,PHP,1172,10.2,18,16,89,forkcms/forkcms
cobbler/cobbler,pypi,Python,2761,0.0,18,16,89,cobbler
1Panel-dev/1Panel,Go,Go,35743,0.0,18,15,83,"github.com/1Panel-dev/1Panel, github.com/1Panel-dev/1Panel/agent, github.com/1Panel-dev/1Panel/core"
envoyproxy/envoy,"Go, Maven, swifturl",C++,28314,0.0,18,14,78,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, github.com/apple/swift-nio-http2, github.com/dadr"
janeczku/calibre-web,pypi,Fluent,17263,0.3,18,14,78,calibreweb
twisted/twisted,pypi,Python,5969,0.3,17,17,100,"Twisted, matrix-synapse, twisted"
cakephp/cakephp,packagist,PHP,8795,0.0,17,17,100,"cakephp/cakephp, cakephp/database"
ckeditor/ckeditor4,"npm, packagist",Rich Text Format,5814,1.8,17,17,100,"ckeditor/ckeditor, ckeditor4, ckeditor4-dev, drupal/core, drupal/drupal"
rusqlite/rusqlite,crates.io,Rust,4228,0.1,17,17,100,"libsqlite3-sys, rusqlite"
spring-projects/spring-boot,Maven,Java,80764,0.0,17,17,100,"org.springframework.boot:spring-boot, org.springframework.boot:spring-boot-actuator, org.springframework.boot:spring-boot-actuator-autoconfigure, org.springframework.boot:spring-boot-autoconfigure, or"
apache/linkis,Maven,Java,3409,0.0,17,17,100,"org.apache.linkis:linkis, org.apache.linkis:linkis-datasource, org.apache.linkis:linkis-engineconn, org.apache.linkis:linkis-engineplugin-spark, org.apache.linkis:linkis-metadata, org.apache.linkis:li"
nautobot/nautobot,pypi,Python,1515,0.0,17,17,100,nautobot
zauberzeug/nicegui,pypi,Python,15886,0.0,17,17,100,nicegui
lin-snow/Ech0,Go,Go,1990,0.0,17,17,100,"github.com/lin-snow/Ech0, github.com/lin-snow/ech0"
yiisoft/yii2,packagist,PHP,14301,0.0,17,16,94,"yiisoft/yii2, yiisoft/yii2-dev, yiisoft/yii2-elasticsearch"
scrapy/scrapy,pypi,Python,62095,0.0,17,16,94,"Scrapy, brotli, scrapy"
OneUptime/oneuptime,npm,TypeScript,7103,0.0,17,16,94,"@oneuptime/common, @oneuptime/common-server, @oneuptime/model, oneuptime"
coredns/coredns,Go,Go,14087,0.0,17,14,82,"github.com/coredns/coredns, github.com/miekg/dns"
apostrophecms/apostrophe,npm,JavaScript,4562,0.0,17,13,76,"@apostrophecms/cli, @apostrophecms/import-export, apostrophe, sanitize-html"
apache/lucene-solr,Maven,,4360,0.6,16,16,100,"org.apache.solr:solr-core, org.apache.solr:solr-parent, org.apache.solr:solr-solrj, org.apache.solr:solr-solrj-streaming"
facebook/react,npm,JavaScript,245434,0.0,16,16,100,"@vitejs/plugin-rsc, next, react, react-devtools-core, react-server-dom-parcel, react-server-dom-turbopack, react-server-dom-webpack"
nicolargo/glances,pypi,Python,32725,0.0,16,16,100,"Glances, glances"
wallabag/wallabag,packagist,PHP,12757,0.1,16,15,94,wallabag/wallabag
owen2345/camaleon-cms,RubyGems,Ruby,1236,0.0,16,13,81,camaleon_cms
bentoml/BentoML,pypi,Python,8664,0.0,16,12,75,bentoml
kubevirt/kubevirt,Go,Go,6882,0.0,16,11,69,kubevirt.io/kubevirt
RustSec/advisory-db,"crates.io, pypi",,1121,0.0,16,10,62,"binary_vec_io, cranelift-codegen, crossbeam-channel, failure, lettre, ncurses, pancurses, raw-cpuid, syncpool, wasmtime, xcb"
swagger-api/swagger-ui,"Maven, NuGet, npm",JavaScript,28826,0.0,15,15,100,"Swashbuckle.AspNetCore.SwaggerUI, io.springfox:springfox-swagger-ui, org.webjars.npm:swagger-ui, org.webjars:swagger-ui, swagger-ui, swagger-ui-dist, swagger-ui-react"
PHPMailer/PHPMailer,packagist,PHP,22172,0.5,15,15,100,"phpmailer/phpmailer, phpservermon/phpservermon"
digitalbazaar/forge,npm,JavaScript,5305,2.3,15,15,100,node-forge
smarty-php/smarty,packagist,PHP,2349,0.5,15,15,100,smarty/smarty
gofiber/fiber,Go,Go,39807,0.0,15,15,100,"github.com/gofiber/fiber, github.com/gofiber/fiber/v2, github.com/gofiber/fiber/v2/middleware/session, github.com/gofiber/fiber/v3, github.com/rs/cors"
publify/publify,RubyGems,Less,1856,0.0,15,15,100,publify_core
ckan/ckan,pypi,Python,5041,0.0,15,15,100,ckan
authzed/spicedb,Go,Go,6753,0.0,15,15,100,github.com/authzed/spicedb
dompdf/dompdf,packagist,PHP,11136,0.9,15,15,100,"dompdf/dompdf, phenx/php-svg-lib"
openstack/neutron,pypi,Python,1462,0.0,15,15,100,"cinder, keystone, neutron, python-keystoneclient"
AcademySoftwareFoundation/openexr,pypi,C,1808,0.0,15,15,100,"OpenEXR, openexr"
modoboa/modoboa,pypi,Python,3498,0.0,15,15,100,modoboa
sveltejs/kit,npm,JavaScript,20551,0.0,15,15,100,"@sveltejs/adapter-node, @sveltejs/adapter-vercel, @sveltejs/kit"
jetty/jetty.project,Maven,Java,4076,0.0,15,15,100,"org.eclipse.jetty.ee10:jetty-ee10, org.eclipse.jetty.ee10:jetty-ee10-jaspi, org.eclipse.jetty.ee10:jetty-ee10-servlets, org.eclipse.jetty.ee11:jetty-ee11-jaspi, org.eclipse.jetty.ee8:jetty-ee8-jaspi, "
laurent22/joplin,npm,TypeScript,55076,0.0,15,14,93,"@joplin/onenote-converter, joplin"
Studio-42/elFinder,packagist,JavaScript,4789,0.9,15,14,93,studio-42/elfinder
GitoxideLabs/gitoxide,crates.io,Rust,11513,0.0,15,14,93,"gitoxide, gitoxide-core, gix, gix-archive, gix-attributes, gix-blame, gix-commitgraph, gix-config, gix-date, gix-diff, gix-dir, gix-discover, gix-features, gix-filter, gix-fs, gix-fsck, gix-index, gix"
canonical/lxd,Go,Go,4771,0.0,15,12,80,"github.com/canonical/lxd, github.com/lxc/lxd"
jupyter/notebook,"npm, pypi",Jupyter Notebook,13178,0.0,14,14,100,"@jupyter-notebook/help-extension, @jupyterlab/help-extension, ipython, jupyter-notebook, jupyterhub, jupyterlab, notebook"
handlebars-lang/handlebars.js,"Maven, RubyGems, npm",JavaScript,18641,1.4,14,14,100,"bootstrap-wysihtml5-rails, handlebars, org.webjars.bowergithub.wycats:handlebars.js, org.webjars.npm:handlebars, org.webjars:handlebars"
kjur/jsrsasign,npm,HTML,3373,1.5,14,14,100,jsrsasign
sulu/sulu,packagist,PHP,1333,0.0,14,14,100,sulu/sulu
apache/shiro,Maven,Java,4433,0.0,14,14,100,"org.apache.shiro:shiro-all, org.apache.shiro:shiro-core, org.apache.shiro:shiro-root, org.apache.shiro:shiro-spring, org.apache.shiro:shiro-spring-boot-starter, org.apache.shiro:shiro-web"
dpgaspar/Flask-AppBuilder,pypi,Python,4953,0.2,14,14,100,"Flask-AppBuilder, flask-appbuilder"
parallax/jsPDF,npm,JavaScript,31220,0.3,14,14,100,"jspdf, survey-pdf"
Graylog2/graylog2-server,Maven,Java,8048,0.0,14,14,100,"org.graylog2:graylog2-server, org.graylog:graylog-parent"
giampaolo/pyftpdlib,pypi,Python,1812,1.3,14,14,100,pyftpdlib
OctoPrint/OctoPrint,pypi,Python,9001,0.2,14,14,100,"OctoPrint, octoprint"
sveltejs/svelte,npm,JavaScript,86685,0.0,14,14,100,svelte
apache/iotdb,"Maven, pypi",Java,6338,0.0,14,14,100,"apache-iotdb, org.apache.iotdb:flink-tsfile-connector, org.apache.iotdb:iotdb-confignode, org.apache.iotdb:iotdb-core, org.apache.iotdb:iotdb-grafana-connector, org.apache.iotdb:iotdb-jdbc, org.apache"
better-auth/better-auth,npm,TypeScript,28592,0.0,14,14,100,"@better-auth/oauth-provider, @better-auth/passkey, better-auth"
remix-run/react-router,npm,TypeScript,56440,0.0,14,14,100,"@react-router/express, @react-router/node, @remix-run/deno, @remix-run/express, @remix-run/node, @remix-run/react, @remix-run/router, @remix-run/server-runtime, react-router"
spring-projects/spring-ai,Maven,Java,8855,0.0,14,14,100,"org.springframework.ai:spring-ai-advisors-vector-store, org.springframework.ai:spring-ai-azure-cosmos-db-store, org.springframework.ai:spring-ai-bedrock-converse, org.springframework.ai:spring-ai-clie"
keystonejs/keystone,npm,TypeScript,9881,0.0,14,13,93,"@keystone-6/auth, @keystone-6/core, @keystone-next/auth, keystone"
NodeBB/NodeBB,npm,JavaScript,15106,0.0,14,13,93,"nodebb, nodebb-plugin-markdown"
getsentry/sentry,pypi,Python,44036,0.0,14,13,93,sentry
zenml-io/zenml,pypi,Python,5431,0.0,14,13,93,zenml
modxcms/revolution,packagist,PHP,1397,0.7,14,12,86,modx/revolution
cri-o/cri-o,Go,Go,5613,0.0,14,12,86,"github.com/cri-o/cri-o, github.com/opencontainers/runc"
apache/tika,Maven,Java,3790,0.0,13,13,100,"org.apache.tika:tika, org.apache.tika:tika-core, org.apache.tika:tika-parser-pdf-module, org.apache.tika:tika-parsers, org.apache.tika:tika-server"
apache/hadoop,Maven,Java,15559,0.0,13,13,100,"org.apache.hadoop:hadoop-client, org.apache.hadoop:hadoop-common, org.apache.hadoop:hadoop-hdfs-native-client, org.apache.hadoop:hadoop-main, org.apache.hadoop:hadoop-yarn-project, org.apache.hadoop:h"
pallets/werkzeug,pypi,Python,6865,1.0,13,13,100,"Quart, Werkzeug, werkzeug"
sebhildebrandt/systeminformation,npm,JavaScript,3114,0.2,13,13,100,systeminformation
composer/composer,"github actions, packagist",PHP,29443,0.0,13,13,100,"composer/composer, shivammathur/setup-php"
payloadcms/payload,npm,TypeScript,42784,0.0,13,13,100,"@payloadcms/drizzle, @payloadcms/graphql, @payloadcms/next, @payloadcms/storage-azure, @payloadcms/storage-gcs, @payloadcms/storage-r2, @payloadcms/storage-s3, payload"
OpenRefine/OpenRefine,Maven,Java,11847,0.1,13,13,100,"org.openrefine:database, org.openrefine:extensions, org.openrefine:main, org.openrefine:openrefine"
protobufjs/protobuf.js,npm,JavaScript,10554,0.0,13,13,100,"@protobufjs/utf8, protobufjs, protobufjs-cli"
saltcorn/saltcorn,npm,JavaScript,2015,0.0,13,13,100,"@saltcorn/cli, @saltcorn/data, @saltcorn/plugins-loader, @saltcorn/server"
dragonflyoss/dragonfly,Go,Go,3185,0.0,13,13,100,"d7y.io/dragonfly/v2, github.com/dragonflyoss/dragonfly"
codeigniter4/CodeIgniter4,packagist,PHP,5913,0.0,13,12,92,codeigniter4/framework
Leantime/leantime,packagist,PHP,9975,0.0,13,12,92,leantime/leantime
OliveTin/OliveTin,Go,Go,3611,0.1,13,12,92,github.com/OliveTin/OliveTin
osrg/gobgp,Go,Go,4061,0.0,13,11,85,"github.com/osrg/gobgp, github.com/osrg/gobgp/v3, github.com/osrg/gobgp/v4"
rustfs/rustfs,crates.io,Rust,28362,0.0,13,11,85,rustfs
spree/spree,RubyGems,Ruby,15456,0.0,12,12,100,"rd_searchlogic, spree, spree_api, spree_core, spree_storefront"
jquery/jquery,"Maven, NuGet, RubyGems, npm, packagist, pypi",JavaScript,59832,0.0,12,12,100,"angular, athlon1600/youtube-downloader, components/jquery, django, jQuery, jQuery.UI.Combined, jquery, jquery-rails, jquery-ui, jquery-ui-rails, maximebf/debugbar, org.webjars.npm:jquery, org.webjars."
phusion/passenger,RubyGems,C++,5080,0.0,12,12,100,passenger
DSpace/DSpace,Maven,Java,1068,0.0,12,12,100,"org.dspace:dspace-api, org.dspace:dspace-jspui, org.dspace:dspace-server-webapp, org.dspace:dspace-xmlui"
apache/ranger,Maven,Java,1050,0.0,12,12,100,"org.apache.ranger:ranger, org.apache.ranger:ranger-hive-plugin, org.apache.ranger:ranger-nifi-registry-plugin, org.apache.ranger:ranger-plugins-common, org.apache.ranger:security-admin-web"
igniterealtime/Openfire,Maven,Java,3029,0.0,12,12,100,"org.igniterealtime.openfire:openfire, org.igniterealtime.openfire:parent, org.igniterealtime.openfire:xmppserver"
indico/indico,pypi,Python,2074,0.0,12,12,100,indico
puma/puma,RubyGems,Ruby,7895,0.2,12,12,100,puma
